Comoros,COM,CO2 emissions (metric tons per capita),240,251,229,239,187,183,193,232,212,207,243,211,232,251,307,312,359,297
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),21,22,27,28,30,31,31,32,38,35,51,65,38,26,28,26,31,28
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),863,815,1330,1322,1323,1349,1312,1165,1106,1053,865,861,708,673,630,614,612,565
Costa Rica,CRI,CO2 emissions (metric tons per capita),1393,1406,1463,1510,1725,1685,1593,1553,1604,1589,1641,1633,1555,1649,1653,1652,1747,1552
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),293,302,317,300,289,324,296,303,285,366,383,396,412,391,425,395,408,382
Croatia,HRV,CO2 emissions (metric tons per capita),5022,4904,4981,5015,5311,5044,4720,4530,4448,4091,4004,3855,3968,4058,4238,4056,4305,4137
Cuba,CUB,CO2 emissions (metric tons per capita),2247,2219,2296,2335,2418,2341,2414,2696,2540,2563,2424,2377,2427,2510,2262,2202,1987,1779
Cyprus,CYP,CO2 emissions (metric tons per capita),7820,7631,7658,7594,7746,7767,7449,7028,6712,6185,5578,5858,5840,6110,6188,6079,6124,5381
Czech Republic,CZE,CO2 emissions (metric tons per capita),12043,12105,11752,11779,12004,11393,10644,10877,10573,10196,9770,9477,9575,9735,9762,9641,9431,8215
Denmark,DNK,CO2 emissions (metric tons per capita),11008,9971,9276,10706,9778,9123,8671,8685,7735,6833,7120,6337,5912,6177,5781,5761,5353,4522
Djibouti,DJI,CO2 emissions (metric tons per capita),540,518,549,541,584,576,556,619,562,587,634,512,591,527,498,511,413,356
Dominica,DMA,CO2 emissions (metric tons per capita),1997,2273,2267,2404,2542,2541,7057,2540,2397,3523,2394,2532,2529,2524,2379,2513,2191,1934
Dominican Republic,DOM,CO2 emissions (metric tons per capita),2115,1922,2051,2204,2204,2172,2050,2129,2127,2179,2115,2097,2281,2352,2225,2364,2563,2560
Ecuador,ECU,CO2 emissions (metric tons per capita),1792,1870,1964,2071,2069,2083,2195,2308,2329,2367,2510,2583,2512,2366,2250,2314,2116,1753
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),1802,1924,2126,2200,2329,2375,2409,2374,2385,2458,2380,2396,2444,2477,2475,2502,2250,2086
El Salvador,SLV,CO2 emissions (metric tons per capita),1086,1109,1130,1189,1250,1127,1085,1058,1092,1085,1031,1047,1107,1128,999,1061,1062,944
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),7515,10112,10793,11676,9188,10432,10714,10089,9839,9707,8686,7209,6110,4608,4461,5096,7574,7317
Eritrea,ERI,CO2 emissions (metric tons per capita),265,250,212,178,170,147,151,158,180,194,198,205,194,195,211,232,239,204
Estonia,EST,CO2 emissions (metric tons per capita),12278,12418,12637,11798,14806,13679,11210,14180,13598,12686,14560,13556,11685,11894,12358,12103,9339,7880
Eswatini,SWZ,CO2 emissions (metric tons per capita),978,965,980,975,997,971,1012,948,951,982,1426,877,933,1104,925,959,882,824
Ethiopia,ETH,CO2 emissions (metric tons per capita),70,72,66,69,75,83,81,74,84,91,108,126,128,144,145,149,146,128
Fiji,FJI,CO2 emissions (metric tons per capita),1323,1785,1558,1655,1507,1136,1136,1349,1286,1191,1305,1512,1738,1994,2063,2151,1564,1554
Finland,FIN,CO2 emissions (metric tons per capita),13756,12945,10572,12726,12309,10664,10148,11659,10230,9126,9228,8452,7815,8318,7808,8043,7691,7091
France,FRA,CO2 emissions (metric tons per capita),6054,6027,6028,5841,5669,5564,5314,5351,5104,5122,5101,4592,4666,4687,4728,4619,4851,4238
Gabon,GAB,CO2 emissions (metric tons per capita),3326,3272,3330,2825,2750,2720,2677,2937,3348,3332,3137,2920,2814,2844,2276,2175,2066,1931
"Gambia, The",GMB,CO2 emissions (metric tons per capita),207,214,220,226,244,255,276,245,243,241,224,257,254,247,244,250,233,207
Georgia,GEO,CO2 emissions (metric tons per capita),800,858,1086,1211,1458,1258,1473,1405,1736,1928,2109,2277,2470,2589,2583,2539,2622,2499
Germany,DEU,CO2 emissions (metric tons per capita),10136,9947,9727,9883,9525,9616,8970,9452,9298,9450,9643,9107,9087,9073,8858,8558,8518,7690
Ghana,GHA,CO2 emissions (metric tons per capita),344,311,322,377,394,363,412,450,481,547,564,528,543,495,508,541,556,515
Greece,GRC,CO2 emissions (metric tons per capita),9171,9114,9279,9138,9441,9064,8530,7875,7614,7251,6610,6385,6285,6204,6211,6083,6276,5012
Greenland,GRL,CO2 emissions (metric tons per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9771,9061
Grenada,GRD,CO2 emissions (metric tons per capita),2404,2204,2389,2478,2662,2750,7657,2730,2716,3909,2958,2296,2463,2539,2616,2692,2967,2620
Guatemala,GTM,CO2 emissions (metric tons per capita),849,848,890,871,921,818,846,803,808,822,865,911,1050,1103,1026,1114,1248,1057
Guinea,GIN,CO2 emissions (metric tons per capita),194,198,202,204,208,206,213,245,251,234,200,201,222,241,246,251,291,258
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),156,160,156,160,163,152,155,158,160,156,158,165,161,168,164,165,164,146
Guyana,GUY,CO2 emissions (metric tons per capita),2174,2239,1983,1782,2143,2142,2167,2348,2433,2648,2608,2699,2671,2995,2993,3132,3177,2813
